VID,"videoInfo.videoError: Descending","Unique count of vid",errors
"71,861",4,1,2
"71,992",4,1,2
"72,081",3,1,1
"72,148",4,1,1
"72,155",3,1,1
"72,248",4,1,8
"72,326",4,1,1
"72,361",3,1,1
"72,361",4,1,2
"72,367",4,1,1
"72,443",4,1,1
"72,460",4,1,10
"72,470",4,1,1
"72,699",4,1,2
"72,734",4,1,1
"72,812",4,1,1
"72,890",4,1,1
"73,034",3,1,1
"73,095",4,1,4
"73,780",4,1,1
"76,365",4,1,1
"76,646",4,1,1
"87,835",4,1,1
"88,029",4,1,1
"105,065",3,1,1
"108,319",3,1,1
"110,134",4,1,1
"110,138",4,1,1
"110,150",4,1,1
"110,162",4,1,1
"110,339",4,1,1
"110,406",4,1,2
"110,423",4,1,1
"110,482",4,1,1
"110,483",4,1,1
"110,495",4,1,3
"110,501",4,1,1
"110,708",4,1,1
"110,711",4,1,3
"110,732",4,1,2
"110,811",4,1,1
"110,996",4,1,1
"111,013",4,1,2
"111,144",4,1,1
"111,202",4,1,1
"111,210",4,1,2
"111,225",3,1,3
"111,225",4,1,3
"111,245",4,1,1
"111,265",3,1,1
"111,282",4,1,2
"111,320",4,1,1
"111,414",4,1,1
"111,450",4,1,1
"111,558",4,1,1
"111,585",4,1,1
"111,598",4,1,1
"111,708",4,1,1
"111,719",3,1,4
"111,719",4,1,6
"111,921",3,1,1
"111,948",3,1,1
"111,989",4,1,5
"112,012",3,1,1
"112,112",4,1,1
"112,291",4,1,1
"112,309",3,1,4
"112,309",4,1,2
"112,364",4,1,1
"112,407",4,1,3
"112,505",4,1,1
"112,507",4,1,2
"112,519",3,1,1
"112,520",4,1,4
"112,521",3,1,1
"112,521",4,1,5
"112,534",4,1,3
"112,582",4,1,1
"112,584",4,1,1
"112,620",4,1,1
"112,781",4,1,1
"113,008",4,1,1
"113,015",3,1,1
"113,019",4,1,1
"113,156",3,1,1
"113,159",4,1,1
"113,210",3,1,1
"113,227",4,1,1
"113,265",4,1,1
"113,323",4,1,1
"113,515",4,1,1
"113,523",4,1,1
"113,553",4,1,1
"113,691",4,1,1
"113,704",4,1,1
"114,011",3,1,1
"114,061",4,1,1
"114,153",4,1,1
"114,157",3,1,1
"114,185",3,1,1
"114,185",4,1,5
"114,208",3,1,1
"114,258",4,1,1
"114,315",3,1,1
"114,317",4,1,1
"114,318",4,1,1
"114,636",4,1,1
"114,669",3,1,1
"114,669",4,1,2
"114,856",4,1,1
"114,926",4,1,3
"114,961",4,1,39
"115,003",3,1,2
"115,003",4,1,3
"115,327",4,1,1
"115,363",3,1,1
"115,363",4,1,1
"115,395",4,1,1
"115,457",4,1,1
"115,487",4,1,1
"115,553",4,1,1
"115,626",4,1,32
"115,640",4,1,9
"115,659",4,1,1
"115,690",3,1,1
"115,783",3,1,1
"115,783",4,1,1
"115,794",3,1,2
"115,870",4,1,25
"115,896",4,1,1
"115,915",3,1,1
"115,915",4,1,1
"115,927",4,1,1
"115,998",4,1,21
"116,015",4,1,13
"116,050",4,1,1
"116,112",4,1,1
"116,133",4,1,1
"116,141",3,1,1
"116,161",3,1,1
"116,187",4,1,1
"116,246",3,1,3
"116,246",4,1,8
"116,287",4,1,2
"116,312",4,1,20
"116,421",4,1,1
"116,423",4,1,1
"116,558",3,1,1
"116,690",3,1,1
"116,697",4,1,1
"116,714",4,1,1
"116,796",3,1,3
"116,836",4,1,8
"116,877",4,1,2
"117,019",4,1,13
"117,105",4,1,30
"117,109",3,1,1
"117,136",4,1,254
"117,158",4,1,1
"117,202",4,1,8
"117,205",3,1,1
"117,311",4,1,1
"117,320",3,1,1
"117,341",4,1,2
"117,395",4,1,1
"117,496",4,1,1
"117,534",4,1,1
